0123456, 7, 15, 7, 1023, 616, 38, 1599297
5462031, 7, 26127, 17497838095530, 734888053, 1124, 41, 3586335
2364150, 7, 25469, 17559973340330, 681341068, 1398, 0, 21530716
0623541, 7, 21944, 17490608804010, 582933035, 213, 38, 91728
4061532, 7, 26299, 17535319090346, 743727157, 1161, 41, 6888432
6342105, 7, 26839, 17496621332138, 757718875, 210, 40, 222660
1625043, 7, 9917, 15, 107471597, 1076, 0, 18839037
2365014, 7, 8510, 16, 73841934, 1119, 0, 19446861
6013254, 7, 27049, 17536646682794, 793869669, 946, 40, 2952208
4031265, 7, 25940, 17, 758499989, 869, 40, 2284150
3206154, 7, 18886, 15, 413173841, 766, 40, 1611603
1306425, 7, 13618, 15, 211456919, 1116, 0, 20761435
0354216, 7, 7956, 14, 71818743, 1153, 0, 17447628
4106235, 7, 21429, 14, 527964798, 692, 40, 1263956
3105246, 7, 22405, 15, 589968230, 1163, 0, 26973080
5213406, 7, 27325, 17503022231210, 759691544, 426, 40, 567581
4623051, 7, 26365, 17478882692778, 708790065, 850, 41, 2462411
2463150, 7, 25531, 17497457965738, 663965263, 1285, 0, 19159176
5603421, 7, 24345, 17551069178026, 655978569, 1327, 0, 23883649
1256304, 7, 25368, 17493536544938, 664136484, 1176, 0, 20367789
2104356, 7, 23673, 17558621915818, 642282973, 915, 40, 2743104
